trial,repeat,map,cat_strategy,mouse_strategy,skills,caught,steps
1,1,easy,SmartCat,QLearning,none,0,200
1,1,easy,SmartCat,Predictive,,1,168
1,1,easy,SmartCat,Predictive,dash,1,168
2,2,easy,SmartCat,QLearning,none,1,64
2,2,easy,SmartCat,Predictive,,1,182
2,2,easy,SmartCat,Predictive,dash,1,190
3,3,easy,SmartCat,QLearning,none,1,14
3,3,easy,SmartCat,Predictive,,1,179
3,3,easy,SmartCat,Predictive,dash,1,181
4,4,easy,SmartCat,QLearning,none,0,200
4,4,easy,SmartCat,Predictive,,1,187
4,4,easy,SmartCat,Predictive,dash,1,180
5,5,easy,SmartCat,QLearning,none,1,142
5,5,easy,SmartCat,Predictive,,1,180
5,5,easy,SmartCat,Predictive,dash,1,178
6,6,easy,SmartCat,QLearning,none,1,17
6,6,easy,SmartCat,Predictive,,1,176
6,6,easy,SmartCat,Predictive,dash,1,169
7,7,easy,SmartCat,QLearning,none,1,51
7,7,easy,SmartCat,Predictive,,1,176
7,7,easy,SmartCat,Predictive,dash,1,181
8,8,easy,SmartCat,QLearning,none,1,15
8,8,easy,SmartCat,Predictive,,1,161
8,8,easy,SmartCat,Predictive,dash,1,179
9,9,easy,SmartCat,QLearning,none,1,22
9,9,easy,SmartCat,Predictive,,1,167
9,9,easy,SmartCat,Predictive,dash,1,182
10,10,easy,SmartCat,QLearning,none,0,200
10,10,easy,SmartCat,Predictive,,1,184
10,10,easy,SmartCat,Predictive,dash,1,171
11,1,easy,SmartCat,QLearning,none,1,7
11,1,easy,SmartCat,Predictive,,1,183
11,1,easy,SmartCat,Predictive,shield,1,179
12,2,easy,SmartCat,QLearning,none,1,74
12,2,easy,SmartCat,Predictive,,1,170
12,2,easy,SmartCat,Predictive,shield,1,167
13,3,easy,SmartCat,QLearning,none,1,16
13,3,easy,SmartCat,Predictive,,1,174
13,3,easy,SmartCat,Predictive,shield,1,177
14,4,easy,SmartCat,QLearning,none,1,8
14,4,easy,SmartCat,Predictive,,1,172
14,4,easy,SmartCat,Predictive,shield,1,181
15,5,easy,SmartCat,QLearning,none,1,13
15,5,easy,SmartCat,Predictive,,1,177
15,5,easy,SmartCat,Predictive,shield,1,175
16,6,easy,SmartCat,QLearning,none,1,139
16,6,easy,SmartCat,Predictive,,1,171
16,6,easy,SmartCat,Predictive,shield,1,180
17,7,easy,SmartCat,QLearning,none,1,37
17,7,easy,SmartCat,Predictive,,1,181
17,7,easy,SmartCat,Predictive,shield,1,176
18,8,easy,SmartCat,QLearning,none,1,15
18,8,easy,SmartCat,Predictive,,1,179
18,8,easy,SmartCat,Predictive,shield,1,170
19,9,easy,SmartCat,QLearning,none,1,15
19,9,easy,SmartCat,Predictive,,1,174
19,9,easy,SmartCat,Predictive,shield,1,183
20,10,easy,SmartCat,QLearning,none,1,11
20,10,easy,SmartCat,Predictive,,1,180
20,10,easy,SmartCat,Predictive,shield,1,177
21,1,easy,SmartCat,QLearning,none,1,133
21,1,easy,SmartCat,Predictive,,1,172
21,1,easy,SmartCat,Predictive,teleport,1,181
22,2,easy,SmartCat,QLearning,none,1,10
22,2,easy,SmartCat,Predictive,,1,174
22,2,easy,SmartCat,Predictive,teleport,1,185
23,3,easy,SmartCat,QLearning,none,1,8
23,3,easy,SmartCat,Predictive,,1,179
23,3,easy,SmartCat,Predictive,teleport,1,188
24,4,easy,SmartCat,QLearning,none,1,37
24,4,easy,SmartCat,Predictive,,1,173
24,4,easy,SmartCat,Predictive,teleport,1,182
25,5,easy,SmartCat,QLearning,none,0,200
25,5,easy,SmartCat,Predictive,,1,169
25,5,easy,SmartCat,Predictive,teleport,1,185
26,6,easy,SmartCat,QLearning,none,1,83
26,6,easy,SmartCat,Predictive,,1,185
26,6,easy,SmartCat,Predictive,teleport,1,184
27,7,easy,SmartCat,QLearning,none,1,10
27,7,easy,SmartCat,Predictive,,1,173
27,7,easy,SmartCat,Predictive,teleport,1,184
28,8,easy,SmartCat,QLearning,none,1,8
28,8,easy,SmartCat,Predictive,,1,171
28,8,easy,SmartCat,Predictive,teleport,1,170
29,9,easy,SmartCat,QLearning,none,1,6
29,9,easy,SmartCat,Predictive,,1,178
29,9,easy,SmartCat,Predictive,teleport,1,179
30,10,easy,SmartCat,QLearning,none,1,2
30,10,easy,SmartCat,Predictive,,1,177
30,10,easy,SmartCat,Predictive,teleport,1,174
31,1,easy,SmartCat,QLearning,none,1,11
31,1,easy,SmartCat,Predictive,,1,170
31,1,easy,SmartCat,Predictive,smoke,1,178
32,2,easy,SmartCat,QLearning,none,1,0
32,2,easy,SmartCat,Predictive,,1,167
32,2,easy,SmartCat,Predictive,smoke,1,180
33,3,easy,SmartCat,QLearning,none,1,2
33,3,easy,SmartCat,Predictive,,1,178
33,3,easy,SmartCat,Predictive,smoke,1,180
34,4,easy,SmartCat,QLearning,none,0,200
34,4,easy,SmartCat,Predictive,,1,173
34,4,easy,SmartCat,Predictive,smoke,1,180
35,5,easy,SmartCat,QLearning,none,0,200
35,5,easy,SmartCat,Predictive,,1,173
35,5,easy,SmartCat,Predictive,smoke,1,174
36,6,easy,SmartCat,QLearning,none,1,8
36,6,easy,SmartCat,Predictive,,1,176
36,6,easy,SmartCat,Predictive,smoke,1,178
37,7,easy,SmartCat,QLearning,none,1,10
37,7,easy,SmartCat,Predictive,,1,184
37,7,easy,SmartCat,Predictive,smoke,1,166
38,8,easy,SmartCat,QLearning,none,1,6
38,8,easy,SmartCat,Predictive,,1,171
38,8,easy,SmartCat,Predictive,smoke,1,182
39,9,easy,SmartCat,QLearning,none,1,12
39,9,easy,SmartCat,Predictive,,1,187
39,9,easy,SmartCat,Predictive,smoke,1,187
40,10,easy,SmartCat,QLearning,none,1,139
40,10,easy,SmartCat,Predictive,,1,187
40,10,easy,SmartCat,Predictive,smoke,1,178
41,1,easy,PredictiveCat,QLearning,none,1,7
41,1,easy,PredictiveCat,Predictive,,1,157
41,1,easy,PredictiveCat,Predictive,dash,1,154
42,2,easy,PredictiveCat,QLearning,none,0,200
42,2,easy,PredictiveCat,Predictive,,1,151
42,2,easy,PredictiveCat,Predictive,dash,1,163
43,3,easy,PredictiveCat,QLearning,none,1,117
43,3,easy,PredictiveCat,Predictive,,1,174
43,3,easy,PredictiveCat,Predictive,dash,1,172
44,4,easy,PredictiveCat,QLearning,none,0,200
44,4,easy,PredictiveCat,Predictive,,1,167
44,4,easy,PredictiveCat,Predictive,dash,1,165
45,5,easy,PredictiveCat,QLearning,none,1,0
45,5,easy,PredictiveCat,Predictive,,1,179
45,5,easy,PredictiveCat,Predictive,dash,1,181
46,6,easy,PredictiveCat,QLearning,none,0,200
46,6,easy,PredictiveCat,Predictive,,1,178
46,6,easy,PredictiveCat,Predictive,dash,1,181
47,7,easy,PredictiveCat,QLearning,none,0,200
47,7,easy,PredictiveCat,Predictive,,1,147
47,7,easy,PredictiveCat,Predictive,dash,1,157
48,8,easy,PredictiveCat,QLearning,none,0,200
48,8,easy,PredictiveCat,Predictive,,1,158
48,8,easy,PredictiveCat,Predictive,dash,1,154
49,9,easy,PredictiveCat,QLearning,none,1,11
49,9,easy,PredictiveCat,Predictive,,1,150
49,9,easy,PredictiveCat,Predictive,dash,1,162
50,10,easy,PredictiveCat,QLearning,none,1,10
50,10,easy,PredictiveCat,Predictive,,1,185
50,10,easy,PredictiveCat,Predictive,dash,1,173
51,1,easy,PredictiveCat,QLearning,none,0,200
51,1,easy,PredictiveCat,Predictive,,1,149
51,1,easy,PredictiveCat,Predictive,shield,1,147
52,2,easy,PredictiveCat,QLearning,none,1,56
52,2,easy,PredictiveCat,Predictive,,1,165
52,2,easy,PredictiveCat,Predictive,shield,1,165
53,3,easy,PredictiveCat,QLearning,none,1,105
53,3,easy,PredictiveCat,Predictive,,1,167
53,3,easy,PredictiveCat,Predictive,shield,1,167
54,4,easy,PredictiveCat,QLearning,none,1,182
54,4,easy,PredictiveCat,Predictive,,1,159
54,4,easy,PredictiveCat,Predictive,shield,1,162
55,5,easy,PredictiveCat,QLearning,none,0,200
55,5,easy,PredictiveCat,Predictive,,1,162
55,5,easy,PredictiveCat,Predictive,shield,1,170
56,6,easy,PredictiveCat,QLearning,none,1,1
56,6,easy,PredictiveCat,Predictive,,1,169
56,6,easy,PredictiveCat,Predictive,shield,1,164
57,7,easy,PredictiveCat,QLearning,none,0,200
57,7,easy,PredictiveCat,Predictive,,1,174
57,7,easy,PredictiveCat,Predictive,shield,1,174
58,8,easy,PredictiveCat,QLearning,none,1,81
58,8,easy,PredictiveCat,Predictive,,1,155
58,8,easy,PredictiveCat,Predictive,shield,1,152
59,9,easy,PredictiveCat,QLearning,none,0,200
59,9,easy,PredictiveCat,Predictive,,1,161
59,9,easy,PredictiveCat,Predictive,shield,1,148
60,10,easy,PredictiveCat,QLearning,none,1,102
60,10,easy,PredictiveCat,Predictive,,1,168
60,10,easy,PredictiveCat,Predictive,shield,1,181
61,1,easy,PredictiveCat,QLearning,none,0,200
61,1,easy,PredictiveCat,Predictive,,1,161
61,1,easy,PredictiveCat,Predictive,teleport,1,180
62,2,easy,PredictiveCat,QLearning,none,0,200
62,2,easy,PredictiveCat,Predictive,,1,171
62,2,easy,PredictiveCat,Predictive,teleport,1,155
63,3,easy,PredictiveCat,QLearning,none,1,4
63,3,easy,PredictiveCat,Predictive,,1,158
63,3,easy,PredictiveCat,Predictive,teleport,1,152
64,4,easy,PredictiveCat,QLearning,none,1,170
64,4,easy,PredictiveCat,Predictive,,1,163
64,4,easy,PredictiveCat,Predictive,teleport,1,160
65,5,easy,PredictiveCat,QLearning,none,1,2
65,5,easy,PredictiveCat,Predictive,,1,169
65,5,easy,PredictiveCat,Predictive,teleport,1,167
